assign,alpha,alpha_t,alpha_p,beta,beta_t,beta_p,R^2
50,0.003258405700889041,0.5464102007803388,0.587166654537375,1.2813771027428262,7.567981170035883,6.917089297454289e-10,0.5289742659643306
32,0.005318288827998268,1.156571440570062,0.25283642665382056,1.2789375584809572,9.795786882068104,2.594070047412203e-13,0.6529607498723612
18,0.004963892649625351,0.7657323250817023,0.4473650943584422,1.2743327949586405,6.923519220012806,7.188580504758894e-09,0.48451064869587
78,0.0072275870319778454,1.462192800304995,0.14982357933694196,1.2740127798407217,9.077673070811857,3.139937181979819e-12,0.6177030428280262
212,0.008157001735843182,2.080883579773388,0.04248507812052074,1.272036130577669,11.42894433855371,1.1188632630376067e-15,0.7191951098610645
150,0.002291028747403202,0.423617620138487,0.6736260044546382,1.2713624473528171,8.279465462245788,5.326735097738402e-11,0.5733986392425897
33,0.005328597603404285,1.1237012284982113,0.26640144461394705,1.2709173733578962,9.439406502406435,8.879885650453283e-13,0.6359805272624726
13,0.0031103507625725333,0.499987746320446,0.6192342606442315,1.2684274773433064,7.181333171417123,2.814612794928571e-09,0.5027860851304387
21,0.0018275613113395582,0.2523895931265801,0.8017543824758007,1.2673561297995313,6.1643544069419525,1.1327115446003429e-07,0.426961561376627
141,0.0019139634681823552,0.385426797552421,0.7015241798546208,1.2624347244452503,8.953784471356665,4.854048902308864e-12,0.6111923433295683
85,0.004151217372245973,0.8241550743097069,0.4136892699347957,1.2622589174442485,8.826150962638136,7.61513769446717e-12,0.6043473408538911
55,0.002238219557140975,0.38182038523954376,0.704180924859875,1.2609654462790065,7.576158523901612,6.715184431894712e-10,0.5295123871016982
134,0.004876992589636477,1.10861960410485,0.27279505496844386,1.2595065918496897,10.083709955066903,9.700297096961549e-14,0.6659706771831311
103,0.004927606094852615,0.8691680874673658,0.3888273820554644,1.2567314167619665,7.807279056867901,2.910714001628182e-10,0.5444541565174867
183,0.0010054554174374346,0.20748186274467426,0.836459826204744,1.2565471114852793,9.132412885370385,2.5914398798575427e-12,0.6205384391497146
224,0.004110335269088654,0.9803190346835077,0.3315563463831962,1.2561338827325457,10.551532967299794,2.0034442309085497e-14,0.6858345534499031
27,-0.0002114852811177589,-0.03179670147037225,0.9747582905961631,1.254354813458404,6.642197201849854,2.0002082106977845e-08,0.46382829938334225
75,0.0027901279221799287,0.5096271261120822,0.6125110166496218,1.2505392426224555,8.044798815384487,1.236550015754018e-10,0.5592764071396139
132,0.0037558726432995394,0.8691564702604966,0.3888336753897803,1.2396561608737253,10.103638409265852,9.065096825634637e-14,0.6668485044659183
184,0.00552578986056262,1.2614890244578463,0.21287226758883887,1.232966540632444,9.913564678454005,1.732719113362391e-13,0.6583573013544256
34,0.0017715623849034934,0.3107830459829737,0.7572322300430276,1.2314890828405287,7.608882484188226,5.964663725442017e-10,0.5316593360172324
42,0.002950376662747736,0.4619865607081014,0.6460557239708411,1.2314012304915793,6.791112159263584,1.1637226930360215e-08,0.47487213948836804
38,0.0010656563978053656,0.19060900988389187,0.8495886655671985,1.229816300904642,7.747398872552866,3.61369722449279e-10,0.5406323697456163
179,0.007377619874321794,1.5861901108852672,0.1188777621387553,1.2272545231792702,9.293152128859115,1.477297228791016e-12,0.628720105758359
227,0.009578807263744259,2.1887546497978456,0.033218577726006726,1.227059583858261,9.87508268561981,1.9765748841899872e-13,0.6566055644282359
100,0.0043280247626746385,0.9798657276315066,0.3317779130270694,1.2268633254316992,9.782783834968898,2.7125173188606586e-13,0.6523585146713482
119,0.0018876727732064927,0.48246824807819116,0.6315377594162309,1.2256356215244195,11.032980281541379,4.064605317141501e-15,0.7047357842546499
109,0.00048562111910561924,0.10363411784544589,0.9178661738838658,1.2250770137037428,9.207845482996763,1.990020406857534e-12,0.6244046217791367
104,0.004363093106482556,0.7198834813697653,0.4748830630491365,1.2206941394186077,7.0935564487361855,3.872783831969756e-09,0.4966370573055985
200,0.006414440196531517,1.4122572553134938,0.1639473604533766,1.2140154409692259,9.413881055687046,9.703252530749065e-13,0.6347258447983558
126,0.002641730731349962,0.7175054483660117,0.4763359902606211,1.21333074645526,11.606607546024751,6.312946473346169e-16,0.7253832150697054
62,0.0022629656040423205,0.37921622581962644,0.7061016535653675,1.2120409655594115,7.153452527700006,3.1148518331853335e-09,0.5008411466095154
243,0.007542232951173809,2.1475645353870334,0.03652311044065789,1.211598833137581,12.150511755213097,1.122774278070635e-16,0.7432475824786902
107,0.002936747325903311,0.6129057291760309,0.5426623005946638,1.210520780517864,8.897926013508979,5.910359537947425e-12,0.6082139477413157
80,0.003748972068193195,0.5912982415057866,0.5569324644355897,1.2095632820376192,6.719120341850697,1.512105626249124e-08,0.4695599055980767
148,0.006801484780135359,2.1350687751995667,0.037581052020836066,1.208390173769917,13.359947937294303,2.766557044263286e-18,0.7777663599916597
70,0.002340749030913438,0.38852120858379063,0.6992476016092997,1.2080800079156808,7.062281400048283,4.3393148228122924e-09,0.49442789440309065
22,0.00394407240402989,0.6001857096966898,0.5510402020247973,1.2067009806251578,6.467402340698736,3.775301463741684e-08,0.4505926184881842
77,0.005490774450956732,1.100681947431328,0.27620317714750564,1.202011312508027,8.486453508976009,2.542893366191333e-11,0.5854329028422693
197,0.006269729931235124,1.2810741902745812,0.20596238885346543,1.1987476794460972,8.626659750902899,1.5440661846490285e-11,0.5933638850436954
219,0.002842881156582064,0.7501933242593595,0.4565853902565772,1.1984101139413514,11.138056021423331,2.8807453845186203e-15,0.7086651417331562
154,0.0019870249258661663,0.4977723765020268,0.6207841043860676,1.1983372828523053,10.572945424210976,1.865094019409803e-14,0.6867075061794643
139,0.00039319143074057947,0.060653875961858394,0.9518719320853216,1.198210058675486,6.509938978932836,3.234808253865278e-08,0.4538404443921441
46,0.0021713399758775133,0.3534948703730267,0.7251745897481696,1.1968317106447304,6.8624282628235544,8.977797787491674e-09,0.4800848100383468
129,0.0025079108457714107,0.5905063353579388,0.5574590166510044,1.196356674738071,9.921163042271104,1.6882844176761853e-13,0.6587018751106063
65,0.005244027291230822,0.9604089211288351,0.34138082924921986,1.196292876191285,7.71646162882811,4.041330049758445e-10,0.5386443274503097
47,-0.0025275879757984624,-0.48133717852048974,0.6323357547824829,1.1948541384168374,8.013965369618061,1.3816241281851058e-10,0.5573824990988584
116,0.0026724997317344483,0.5372765151766036,0.5934131935247802,1.1927176317102086,8.445148074683225,2.946413574847226e-11,0.5830626169919072
61,0.001230366273301339,0.1712197140906447,0.8647285438575298,1.1924068556710954,5.84431016071693,3.592980879532245e-07,0.40109888669468063
168,0.0034836340213993044,0.7481586442293103,0.4578007907017153,1.191182895991873,9.010088686702575,3.981477283381951e-12,0.6141674625399579
175,0.002521857557937667,0.6009110351320182,0.5505607185402805,1.1906980986115556,9.992651214489001,1.3226282384524443e-13,0.6619227093234358
111,0.00015631970774982614,0.028594757752281062,0.977299397504491,1.1903420494182981,7.668914657859123,4.799713020278225e-10,0.5355709489840256
94,0.0036931836964643945,0.6516658532258256,0.5175427910437018,1.1885436769230666,7.386328918583444,1.3366353487252706e-09,0.5168526297597256
192,0.0008050471396907056,0.21908579475635745,0.827457662789981,1.1881195819648147,11.38787008217798,1.277875512299434e-15,0.7177386091958347
106,-0.0007152305565898202,-0.16047274408763035,0.8731426342751981,1.1880846185020393,9.388409713477976,1.0601708953406637e-12,0.6334685921499676
58,0.003930182003819444,0.5356522185539628,0.5945273256021648,1.18370684938936,5.68203426000695,6.429804209511147e-07,0.38764860826678194
25,-0.00014152433569520565,-0.02144232132961173,0.982976487561128,1.1810110826917193,6.30208258570134,6.87834212411064e-08,0.4378074175506057
88,0.0003282496531718721,0.06865205955360935,0.9455350436577173,1.180211368703239,8.69357750920814,1.2176330266555698e-11,0.5970873043329756
86,0.0022089560728230672,0.3675702033066735,0.7147147652117314,1.1797608689686547,6.914115786003812,7.438765676356596e-09,0.4838317747510993
41,0.0005697709819823312,0.09446780061119867,0.9251077422763412,1.1786129233043938,6.882466686392323,8.34656973782009e-09,0.48154054431121196
230,0.0032427522757898005,1.093983851678938,0.2791022488322362,1.1784352956498747,14.002072512029404,4.176300651473646e-19,0.7935707694107612
82,0.00021610808564676216,0.03521013983592489,0.9720496297236968,1.1775151248322715,6.756980567040765,1.317568319560403e-08,0.47235986309620903
76,-0.0004982799822526268,-0.09357474967684107,0.9258136216099752,1.1760219391581224,7.778396897276869,3.2307651164272336e-10,0.5426150831426062
186,0.0029719295349762754,0.6388591102414322,0.5257735059797388,1.1755450909454803,8.900108857953908,5.86502557823872e-12,0.6083308419540545
36,0.0001191526728142026,0.024941877766909818,0.980198661858742,1.1739485142748964,8.654935791410676,1.396559109113871e-11,0.594942060743838
187,0.0036110541747926142,1.1225909004481531,0.26686849941104446,1.1721502100960868,12.83394652514525,1.3534324632219466e-17,0.7635716627109981
127,0.006119696395463305,1.1063401310931673,0.2737707270171854,1.1706501931657767,7.453759441635686,1.0465313688874564e-09,0.5213897931106025
191,0.0015033120816456348,0.30907329085512286,0.7585249308156133,1.1703749729036501,8.47474807428077,2.6512398941666467e-11,0.5847627635098941
245,0.004417016832136344,1.1639153133836864,0.24987463259562515,1.1657493380819899,10.818995682785927,8.229436271609949e-15,0.6965200987704198
118,0.003408396710812717,0.8015116603393921,0.42655421297574825,1.1654708707667143,9.652739207108082,4.243836610935763e-13,0.646264139886354
