assign,beta,value_weighted_return,return
114,1.0844262752036615,-0.002107878006872851,-0.031752902689963766
115,1.163616201257399,-0.002096264150943394,-0.029878263433658243
116,1.1927176317102086,-0.002144616719242899,-0.030242414213373738
117,1.3148592109327832,-0.0020501212598425175,-0.03214433870479181
118,1.1654708707667143,-0.002096264150943394,-0.029262120351897236
119,1.2256356215244195,-0.002096264150943394,-0.02959373513177145
120,1.0615814546342928,-0.00202273028391167,-0.03166270601148099
121,1.120916840939347,-0.0020683826771653526,-0.032269619019752435
122,1.0876660535654128,-0.0020080175159235655,-0.033187155754292784
123,1.1456776339620085,-0.0021109007874015725,-0.031043774925264247
124,1.112159912858115,-0.0021800202020202,-0.03198943596081661
125,0.9659586038279349,-0.002096264150943394,-0.03092720525755761
126,1.21333074645526,-0.002209917981072552,-0.03008105932378383
127,1.1706501931657767,-0.0020573413078149917,-0.03298601012349604
128,1.0009366945750184,-0.002209917981072553,-0.03335950727331065
129,1.196356674738071,-0.002099655118110234,-0.028325020594555585
130,1.0266352352889523,-0.002096264150943394,-0.03015243010032491
131,1.1238894914130322,-0.002096264150943394,-0.030377054314161392
132,1.2396561608737253,-0.0021564195583596195,-0.031708808535140305
133,1.1276491508103588,-0.002088880314960628,-0.030126096185106765
134,1.2595065918496897,-0.0020824533965244844,-0.03067994809639037
135,1.0762310330855072,-0.0020655205047318587,-0.03136193944996679
136,1.1553798094427201,-0.0021097120689655157,-0.02650334557419175
137,1.1203572202751442,-0.002096264150943394,-0.03001399613806076
138,1.1485418266907932,-0.002096264150943394,-0.032119875068878374
139,1.198210058675486,-0.002173039808917194,-0.03797190416193609
140,1.0827656932344232,-0.0019768322784810104,-0.02921682544106211
141,1.2624347244452503,-0.0021069086614173204,-0.03230101429534299
142,0.9232793803703958,-0.002344756058158318,-0.03511673282281299
143,0.8325559844892442,-0.0021483955696202516,-0.031136039048657048
144,1.1435728005089034,-0.002035446909667194,-0.029613805408062455
145,1.080865141165207,-0.0017759109697933213,-0.028924471033322283
146,1.0910791386814116,-0.002096264150943394,-0.03142712664120541
147,1.0196773686698113,-0.001901204838709676,-0.03323906626384693
148,1.208390173769917,-0.002090406299212596,-0.03281166311424063
149,1.0841526092310607,-0.0021225220820189246,-0.03336796153198572
150,1.2713624473528171,-0.002058133858267714,-0.02854052925597291
151,1.0781253131551067,-0.0019329241706161123,-0.03331753893367315
152,0.9473947214171222,-0.002096264150943394,-0.03684829173554505
153,1.0587223787875584,-0.0020668341232227467,-0.02842662424173002
154,1.1983372828523053,-0.0019969174603174586,-0.032185415470196134
155,1.064185818515806,-0.002096264150943394,-0.030253373496551324
156,1.1020087900386868,-0.0020429098101265803,-0.03050555012460642
157,1.0505602794514384,-0.002096264150943394,-0.031496342050010444
158,1.012638528502995,-0.002096264150943394,-0.030574760289004153
