permno,alpha,alpha_t,alpha_p,beta,beta_t,beta_p,R^2
333.0,0.0047744590670174,0.48630853414888053,0.6289164063909953,0.7986176459113636,2.7058982718572326,0.009346351652845898,0.13000071638487287
338.0,-0.0015448323498427432,-0.20637568888303492,0.8373355421173884,0.7803469995121791,3.4567352819532213,0.0011249310525009099,0.1928847145464032
400.0,0.004562674190880618,0.584812092889588,0.5613039404684557,1.0064462721695362,4.277486612614965,8.51224353325782e-05,0.26790226114269033
401.0,0.030788410274448456,1.07246963513717,0.29045459492851033,1.7322983301803998,1.9264611220907828,0.06175479097675065,0.09116036061617372
402.0,0.007742610180251287,0.6688442314401112,0.5066713321899192,1.1407853795272658,3.2677040395592702,0.001963777394861331,0.17597661594162206
403.0,-0.00981038086959705,-0.9369465455389595,0.3532898287812689,0.5480819765695507,1.7357039171334159,0.0887758921978561,0.056829210764378635
404.0,0.001912227899326325,0.1927047164593382,0.8479867213188353,1.0403941138869264,3.482010822298249,0.0010566856440404238,0.1983561309761812
407.0,0.02708411145016486,1.5937128919273766,0.12053483376354994,1.5101749872932972,3.0703566844138743,0.004258474038277255,0.22219506762913377
408.0,0.003754056750710815,0.4004574959068797,0.6905255673245414,1.2310235359720574,4.354347919399152,6.608411580766707e-05,0.2749456311789924
411.0,0.009916045368817803,1.1458448241152335,0.2573139951845157,1.3231564797438153,5.069903429735756,5.836313102863374e-06,0.3395322265965446
413.0,0.014267551823663582,0.7571011661316182,0.4525423926038188,1.148302169007002,2.020513788245019,0.04870268202976482,0.0754861144091652
415.0,0.017309717935487925,0.7391548511941586,0.4688470515365307,1.5756082264463072,2.250897332787077,0.03642681958645819,0.21052212136833992
416.0,0.029432243512521456,2.7393860092115845,0.008670861901576225,1.948845341365161,6.139369406066059,1.6555810846340963e-07,0.4450469994513352
417.0,0.0022779954497751487,0.4105199477240029,0.6831785156394876,1.1237313788038943,6.714985786565679,1.6758671558197276e-08,0.4741880718199616
418.0,-0.018317635953981778,-1.7748517351086295,0.08201008337268859,0.011007877991972087,0.03536693629406761,0.9719279690311651,2.5015777851855603e-05
419.0,0.01613326658696566,2.185834404300767,0.03353783581051693,1.6552691600358125,7.436434339857954,1.2484117335878948e-09,0.5251686976209884
420.0,-3.913365945344867e-05,-0.005501029763937699,0.9956327254549762,1.2468344191118335,5.811704080110107,4.2874240297434866e-07,0.4031696773795882
421.0,0.003015104180127655,0.2994910595321401,0.7658068499969615,1.0803132025086424,3.5582167521138346,0.0008288139529662445,0.20205431378671834
423.0,-0.004316934565846275,-0.5645555373851822,0.5749002259004261,0.6984610289747706,3.0288276546347745,0.0038777968440572613,0.15503140634108958
425.0,0.0018105048598921012,0.3381568882662444,0.7366895807080338,1.2063242655597881,7.477491449699748,1.212285559885499e-09,0.5329458045907012
426.0,0.03566284727246295,1.7770322659257112,0.08164624732511466,2.0697035580874656,3.4197048390868785,0.001256216645248744,0.18955342385439256
